indic_cr,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
PRIS_ACT_CAP,P_HTHAB,IT	101.07 	97.44 	92.27 	87.85 	90.07 	106.97 	112.98 	115.09 	117.02 	111.18 	101.08 
PRIS_ACT_CAP,P_HTHAB,LI	165.29 	193.07 	191.38 	141.84 	142.75 	184.59 	164.50 	196.41 	211.73 	418.67 	220.61 
PRIS_ACT_CAP,P_HTHAB,LT	230.87 	231.71 	235.93 	251.77 	293.40 	311.62 	323.91 	324.97 	290.87 	271.84 	249.02 
PRIS_ACT_CAP,P_HTHAB,LU	108.97 	115.80 	125.64 	122.74 	113.88 	122.15 	126.89 	124.45 	135.64 	142.25 	157.50 
PRIS_ACT_CAP,P_HTHAB,LV	182.07 	193.07 	215.49 	221.99 	237.08 	253.78 	299.15 	316.25 	319.74 	326.19 	298.75 
PRIS_ACT_CAP,P_HTHAB,ME	180.76 	179.79 	180.48 	181.80 	180.69 	171.37 	214.57 	214.25 	235.38 	242.89 	197.55 
PRIS_ACT_CAP,P_HTHAB,MK	: 	146.16 	155.99 	: 	: 	: 	: 	: 	: 	: 	: 
PRIS_ACT_CAP,P_HTHAB,MT	: 	128.40 	122.78 	129.41 	136.58 	145.95 	140.10 	140.73 	141.05 	120.22 	162.32 
PRIS_ACT_CAP,P_HTHAB,NL	65.48 	63.66 	62.44 	64.20 	70.91 	75.81 	80.53 	83.87 	86.68 	87.13 	89.06 
PRIS_ACT_CAP,P_HTHAB,NO	: 	79.19 	80.45 	: 	: 	76.59 	81.27 	78.57 	73.36 	69.59 	73.40 
PRIS_ACT_CAP,P_HTHAB,PL	191.74 	196.14 	190.19 	191.27 	208.70 	210.61 	224.52 	217.62 	216.64 	224.85 	222.95 
PRIS_ACT_CAP,P_HTHAB,PT	126.53 	131.79 	134.58 	138.54 	136.16 	138.60 	131.61 	122.53 	111.97 	106.85 	102.40 
PRIS_ACT_CAP,P_HTHAB,RO	106.46 	119.37 	138.94 	142.59 	151.18 	167.00 	158.33 	143.34 	131.60 	130.70 	127.02 
PRIS_ACT_CAP,P_HTHAB,RS	155.27 	153.50 	150.81 	141.46 	143.95 	139.68 	141.70 	152.66 	153.44 	149.63 	131.71 
PRIS_ACT_CAP,P_HTHAB,SE	60.41 	57.16 	57.44 	58.39 	60.21 	59.89 	66.39 	70.83 	73.29 	78.71 	77.02 
PRIS_ACT_CAP,P_HTHAB,SI	67.54 	: 	63.37 	67.82 	73.84 	66.06 	66.99 	62.09 	66.00 	67.16 	65.56 
PRIS_ACT_CAP,P_HTHAB,SK	189.12 	184.50 	184.20 	182.85 	185.01 	180.25 	200.77 	195.18 	186.09 	173.08 	151.90 
PRIS_ACT_CAP,P_HTHAB,TR	327.73 	292.45 	254.92 	: 	206.98 	192.36 	182.03 	174.44 	166.50 	162.67 	: 
PRIS_ACT_CAP,P_HTHAB,UKC-L	138.91 	144.19 	146.11 	146.42 	146.35 	144.27 	150.59 	150.95 	151.46 	148.69 	149.54 
PRIS_ACT_CAP,P_HTHAB,UKM	: 	137.34 	140.64 	144.57 	144.84 	148.38 	151.84 	154.87 	149.68 	152.66 	150.93 
PRIS_ACT_CAP,P_HTHAB,UKN	75.00 	75.59 	75.70 	78.34 	93.02 	98.32 	92.47 	92.45 	81.43 	85.38 	87.16 
PRIS_ACT_CAP,P_HTHAB,XK	87.13 	95.82 	93.02 	: 	: 	: 	: 	80.32 	: 	: 	: 
PRIS_OFF_CAP,NR,AL	6236 	5455 	5455 	5484 	4577 	4577 	4577 	4417 	4381 	4425 	4166 
PRIS_OFF_CAP,NR,AT	: 	8884 	4182 	4191 	8666 	8636 	8651 	8773 	8565 	8678 	8682 
PRIS_OFF_CAP,NR,BA	3480 	3587 	3407 	3510 	3358 	3297 	: 	3199 	3080 	: 	: 
PRIS_OFF_CAP,NR,BE	: 	: 	: 	9952 	: 	9715 	9401 	9212 	9129 	8546 	8445 
PRIS_OFF_CAP,NR,BG	8241 	8491 	8491 	7408 	7870 	8834 	9493 	9885 	9379 	9006 	9408 
PRIS_OFF_CAP,NR,CH	7518 	7489 	7483 	7324 	7235 	: 	: 	: 	: 	: 	: 
PRIS_OFF_CAP,NR,CY	566 	528 	: 	480 	: 	370 	370 	370 	351 	360 	322 
PRIS_OFF_CAP,NR,CZ	21058 	: 	20754 	20782 	20020 	20928 	21307 	20501 	: 	: 	: 
PRIS_OFF_CAP,NR,DE	74386 	73603 	73627 	73916 	75793 	: 	: 	: 	: 	: 	: 
PRIS_OFF_CAP,NR,DK	3795 	3592 	3522 	3761 	4153 	: 	: 	: 	: 	: 	: 
PRIS_OFF_CAP,NR,EE	3334 	2915 	2915 	: 	2962 	3420 	: 	3662 	3637 	3621 	3880 
PRIS_OFF_CAP,NR,EL	: 	10260 	9815 	9886 	9886 	9909 	9886 	10376 	10326 	9723 	9664 
PRIS_OFF_CAP,NR,ES	64323 	64109 	64144 	: 	: 	: 	: 	: 	: 	: 	: 
PRIS_OFF_CAP,NR,FI	2975 	2922 	2959 	3079 	3083 	: 	: 	: 	: 	: 	: 
PRIS_OFF_CAP,NR,FR	: 	59765 	58681 	58561 	57841 	57516 	56992 	57236 	56358 	54988 	51997 
PRIS_OFF_CAP,NR,HR	3558 	: 	: 	4022 	4022 	3921 	3921 	3921 	3501 	3501 	3501 
PRIS_OFF_CAP,NR,HU	14469 	14011 	13774 	13209 	12584 	12584 	12573 	12604 	12335 	12042 	12556 
PRIS_OFF_CAP,NR,IE	: 	: 	: 	4695 	4145 	4244 	4622 	4480 	4480 	4323 	3827 
PRIS_OFF_CAP,NR,IS	: 	: 	140 	148 	155 	164 	141 	: 	: 	145 	145 
PRIS_OFF_CAP,NR,IT	51141 	51078 	50806 	50239 	50282 	48559 	47864 	46452 	45791 	44838 	43843 
PRIS_OFF_CAP,NR,LI	20 	20 	20 	20 	20 	20 	20 	20 	20 	20 	18 
