iccs,sex,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
ICCS0101,M,NR,IT	8951 	8914 	8797 	8894 	9105 	9342 	6016 	5911 	5851 	5689 	5415 
ICCS0101,M,NR,LI	: 	: 	1 	0 	1 	1 	: 	: 	: 	: 	: 
ICCS0101,M,NR,LT	1455 	1514 	1570 	1641 	1785 	1817 	1893 	1907 	1800 	1727 	1696 
ICCS0101,M,NR,LU	: 	47 	0 	58 	57 	50 	50 	37 	: 	: 	: 
ICCS0101,M,NR,LV	564 	569 	581 	596 	651 	676 	: 	: 	: 	: 	: 
ICCS0101,M,NR,ME	22 	48 	45 	39 	46 	15 	11 	19 	16 	15 	13 
ICCS0101,M,NR,MT	: 	46 	37 	31 	32 	31 	: 	: 	: 	: 	: 
ICCS0101,M,NR,NO	: 	130 	128 	131 	124 	125 	131 	126 	122 	121 	127 
ICCS0101,M,NR,PL	4021 	3999 	4012 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,M,NR,PT	265 	272 	283 	299 	304 	318 	318 	320 	327 	328 	327 
ICCS0101,M,NR,RO	4829 	5332 	5946 	6194 	6015 	6013 	5361 	5375 	5240 	5292 	5533 
ICCS0101,M,NR,RS	739 	700 	683 	753 	722 	603 	: 	: 	: 	: 	: 
ICCS0101,M,NR,SE	615 	601 	552 	542 	525 	535 	437 	428 	443 	422 	408 
ICCS0101,M,NR,SI	97 	83 	71 	: 	: 	: 	: 	: 	: 	: 	: 
ICCS0101,M,NR,SK	365 	349 	462 	463 	464 	: 	: 	: 	: 	: 	: 
ICCS0101,M,NR,TR	33186 	: 	29070 	27640 	26296 	24668 	6262 	3358 	2838 	1466 	: 
ICCS0101,M,NR,UKC-L	5188 	5195 	5225 	5076 	5015 	5015 	4979 	4829 	4587 	4809 	4395 
ICCS0101,M,NR,UKM	: 	: 	: 	: 	807 	807 	787 	778 	775 	800 	788 
ICCS0101,M,NR,UKN	159 	153 	162 	180 	209 	169 	153 	160 	156 	144 	: 
ICCS0101,M,NR,XK	347 	375 	: 	407 	356 	422 	402 	392 	442 	272 	: 
ICCS0101,M,P_HTHAB,AL	28.36 	29.31 	21.97 	26.21 	72.60 	: 	: 	76.94 	: 	77.62 	68.43 
ICCS0101,M,P_HTHAB,AT	11.27 	10.64 	11.28 	10.73 	11.02 	11.54 	12.30 	12.31 	12.03 	11.91 	12.32 
ICCS0101,M,P_HTHAB,BE	: 	: 	: 	: 	: 	: 	15.17 	14.83 	15.29 	14.69 	15.26 
ICCS0101,M,P_HTHAB,BG	23.17 	23.62 	22.26 	22.04 	24.43 	25.42 	26.47 	26.08 	25.60 	27.42 	28.03 
ICCS0101,M,P_HTHAB,CH	10.20 	11.60 	12.08 	12.22 	11.29 	11.77 	11.78 	11.76 	11.88 	12.12 	11.99 
ICCS0101,M,P_HTHAB,CY	: 	: 	: 	: 	: 	3.80 	4.53 	4.40 	4.50 	4.36 	: 
ICCS0101,M,P_HTHAB,CZ	18.99 	19.79 	20.69 	14.87 	20.40 	20.56 	19.79 	22.36 	: 	: 	: 
