indicator,country_code,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
PRIS_ACT_CAP,GBR,83311,93288,92590,93635,93118,91574,94625,94279,93322,91325,91044
PRIS_ACT_CAP,UKR,1567,1709,1648,1478,1854,1776,1737,1441,,,
PRIS_OFF_CAP,ALB,6236,5455,5455,5484,4577,4577,4577,4417,4381,4425,4166
PRIS_OFF_CAP,AUT,,8884,4182,4191,8666,8636,8651,8773,8565,8678,8682
PRIS_OFF_CAP,BIH,3480,3587,3407,3510,3358,3297,,3199,3080,,
PRIS_OFF_CAP,BEL,,,,9952,,9715,9401,9212,9129,8546,8445
PRIS_OFF_CAP,BGR,8241,8491,8491,7408,7870,8834,9493,9885,9379,9006,9408
PRIS_OFF_CAP,CHE,7518,7489,7483,7324,7235,,,,,,
PRIS_OFF_CAP,CYP,566,528,,480,,370,370,370,351,360,322
PRIS_OFF_CAP,CZE,21058,,20754,20782,20020,20928,21307,20501,,,
PRIS_OFF_CAP,DEU,74386,73603,73627,73916,75793,,,,,,
PRIS_OFF_CAP,DNK,3795,3592,3522,3761,4153,,,,,,
PRIS_OFF_CAP,EST,3334,2915,2915,,2962,3420,,3662,3637,3621,3880
PRIS_OFF_CAP,GRC,,10260,9815,9886,9886,9909,9886,10376,10326,9723,9664
PRIS_OFF_CAP,ESP,64323,64109,64144,,,,,,,,
PRIS_OFF_CAP,FIN,2975,2922,2959,3079,3083,,,,,,
PRIS_OFF_CAP,FRA,,59765,58681,58561,57841,57516,56992,57236,56358,54988,51997
PRIS_OFF_CAP,HRV,3558,,,4022,4022,3921,3921,3921,3501,3501,3501
PRIS_OFF_CAP,HUN,14469,14011,13774,13209,12584,12584,12573,12604,12335,12042,12556
PRIS_OFF_CAP,IRL,,,,4695,4145,4244,4622,4480,4480,4323,3827
PRIS_OFF_CAP,ISL,,,140,148,155,164,141,,,145,145
PRIS_OFF_CAP,ITA,51141,51078,50806,50239,50282,48559,47864,46452,45791,44838,43843
PRIS_OFF_CAP,LTU,8011,8011,8011,9399,9399,9399,9399,9399,9399,9062,9062
PRIS_OFF_CAP,LUX,711,711,711,711,711,,,,,,
PRIS_OFF_CAP,LVA,3522,3783,4409,5871,5852,8144,7970,,8333,8015,8042
PRIS_OFF_CAP,MNE,1345,1345,1375,,,1116,1116,1116,1066,1022,1280
PRIS_OFF_CAP,MKD,,2519,,,,,,1941,2041,1941,1681
PRIS_OFF_CAP,NLD,,,,14299,14665,15283,15731,15509,16033,17668,
PRIS_OFF_CAP,NOR,,,3880,3850,3916,,,,,,
PRIS_OFF_CAP,POL,85940,88637,89178,89164,87742,88662,88498,87961,86755,86019,85049
PRIS_OFF_CAP,PRT,12934,12694,12600,12591,12591,12400,12342,12330,12174,12102,12464
PRIS_OFF_CAP,ROU,19414,20408,27889,27479,28901,29389,27125,26618,34165,33960,34299
PRIS_OFF_CAP,SRB,10307,9892,9802,9459,9340,9200,9000,6924,,,
PRIS_OFF_CAP,SWE,6539,6147,6252,6262,6475,6675,6963,7045,6805,6981,7175
PRIS_OFF_CAP,SVN,1339,1339,1322,1322,1293,1293,1309,1309,1115,1098,1098
PRIS_OFF_CAP,SVK,11499,10941,11033,11184,11828,11812,11304,11201,11085,10876,10818
PRIS_OFF_CAP,TUR,213862,208780,202675,177636,163129,154115,142460,116754,114348,106779,
PRIS_OFF_CAP,GBR,90346,88849,89170,90909,91653,90349,94698,93976,92291,1842,1722
PRIS_OFF_CAP,UKR,1567,2290,2290,2394,2132,2127,1785,1484,,,
